Feature,Importance
fad4_CAROTENOIDS,0.0012605412859349177
fad4_MAGNESIUM,0.0012536034241593056
fad4_FD,0.0012503217294425547
FOLD_CHOLESTEROL,0.001224264619547614
fad4_D_VITAMIN,0.0012216279914703352
fad0_CHOLESTEROL,0.0012204869923220917
fad4_DHA,0.0012113204266191592
fad0_CAROTENOIDS,0.001207634278197669
fad0_RETINOLI,0.0012049958161629943
FOLD_ALFALINOLENICACID,0.001204490565687285
FOLD_CARBOHYDRATES_Epros,0.0011950996181087508
fad0_ALCOHOL_Epros,0.0011450965050568767
fad4_LACS,0.0011321915731380215
FOLD_MUFA_Epros,0.0011279591633519073
fad0_SFA,0.0011268654152192879
fad4_N6_FA,0.0011184637481226375
fad4_E_VITAMIN,0.0011063793672678325
fad4_PSACNCS,0.0010839311554487622
fad0_ZINC,0.001067012515672665
fad4_CU,0.0010606843505014283
fad0_FD,0.0010602231166366271
fad4_ALFALINOLENICACID,0.001051231404297811
fad0_ins0,0.001047974759243192
fad4_SFA_Epros,0.0010462061095769238
fad0_ALCOHOL,0.0010259125844355353
lg_fad0_SFA_Epros,0.0010189842945348996
fad4_SUGAR,0.0010169701796467986
fad4_IODINE,0.001012819752589873
fad0_N3_FA,0.0009939989105608427
fad0_ins30,0.0009814512604929997
fad0_PROTEIN_Epros,0.0009806599760781365
fad0_systbp,0.0009733276223914166
fad0_diastbp1,0.0009612090886984666
fad0_homais,0.000959264501762569
fad0_insiauc,0.00095451675228686
fad4_STERT,0.0009398715435523222
fad0_FA18,0.0009331181164660162
fadinterv_ENERGY_KCAL,0.0009217307837449302
fad0_F20D4N6,0.0009072741227102285
fad4_N3_FA,0.0009052520153831544
fad0_A_VITAMIN,0.0009005296585051954
fad4_FIBINS,0.0008934151704029751
OIL_CONS_REAL,0.0008910698942785217
fad0_N6_FA,0.0008853285654423329
fad0_E_VITAMIN,0.0008833399619287169
fad0_gluc30,0.0008717832903674609
fad0_MO,0.0008693405195988379
fad4_PYRIDOXIN_B6,0.0008634864816209946
fad4_FA18,0.0008449192660810588
fad0_ALFALINOLENICACID,0.0008388667342675861
fad4_ZINC,0.0008230275370223969
fad4_CALSIUM,0.0008177821712478284
fad4_ENERGY_J,0.0008158413335281045
FOLD_FIBER,0.0008133199501167896
fad4_KOBALAMIN_B12,0.000795955936612595
lg_fad0_PUFA_Epros,0.0007932383874751834
fad4_FIBER,0.0007818066217350063
fad4_FOLATE,0.0007714689093681421
fadinterv_PUFA_Epros,0.0007545707299311638
fad4_POTASSIUM,0.0007413235586069366
fad0_LINOLEICACID,0.0007266846362132928
fad4_PROTEIN,0.0007247365879665113
fad4_STARCH,0.0007231962237464
fad0_FOLATE,0.0007052307064680683
fad0_MN,0.0006928239790669194
lg_fadinterv_ALFALINOLENICACID,0.0006604739332474782
fadinterv_MUFA_Epros,0.000652962080887439
fad0_systbp1,0.0006236912051244093
fad4_F18P1T,0.0006189630380050037
fadinterv_CARBOHYDRATES_Epros,0.000609318380608861
fad0_C_VITAMIN,0.0005997586236735145
fad0_CALSIUM,0.0005854181150147126
fad4_NT,0.0005823111303826786
fad4_ASH,0.0005771300846839
fad0_diastbp,0.0005750668705481474
fad0_BETACAROTENS,0.0005742770777229704
fad4_CARBOHYDRATE_Epros,0.0005703308907788132
MOMID,0.0005694594864751334
fad0_gluc120,0.0005693510957190278
fad0_D_VITAMIN,0.0005643770905645021
fad0_FRUS,0.0005624117521783632
fadinterv_SUCROSE,0.0005582287528768276
